Región,Provincia,Localidad,Lectura_23_11_24_al_06_12_24,Lectura_07_12_24_al_21_12_24,Lectura_22_12_24_al_07_01_25
Centro Sur,Buenos Aires,La Violeta,Trampa perdida,0,0
Centro Sur,Buenos Aires,17 de Agosto,Trampa perdida,0,0
Centro Sur,Buenos Aires,América,0,0,0
Centro Sur,Buenos Aires,Armstrong,0,0,0
Centro Sur,Buenos Aires,Chacabuco,0,0,0
Centro Sur,Buenos Aires,Cnel. Dorrego,0,0,0
Centro Sur,Buenos Aires,Colón,0,0,0
Centro Sur,Buenos Aires,Coronel Suarez,0,0,0
Centro Sur,Buenos Aires,Cura Malal,0,0,0
Centro Sur,Buenos Aires,Ferré,0,0,0
Centro Sur,Buenos Aires,Germania,0,0,0
Centro Sur,Buenos Aires,Gral. Arenales T1,0,Sin datos,0
Centro Sur,Buenos Aires,Gobernador Castro,0,0,0
Centro Sur,Buenos Aires,González Moreno,0,0,0
Centro Sur,Buenos Aires,Guaminí,0,0,0
Centro Sur,Buenos Aires,Leandro N. Alem,0,0,0
Centro Sur,Buenos Aires,Los Toldos,0,0,0
Centro Sur,Buenos Aires,Morse,0,0,0
Centro Sur,Buenos Aires,Pasman,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,Sin datos,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Ramallo,0,0,0
Centro Sur,Buenos Aires,Roberts,0,0,0
Centro Sur,Buenos Aires,Tres Arroyos,0,Sin datos,0
Centro Sur,Buenos Aires,Villa Gral. Savio,0,0,0
Centro Sur,Buenos Aires,Inés Indart,0,Trampa perdida,0
Centro Sur,Buenos Aires,Pirovano,0,0,0
Centro Sur,Buenos Aires,Zavalía,0,0,0
Centro Sur,Buenos Aires,Pigüé,0,0,0
Centro Sur,Buenos Aires,25 de Mayo Salesiana,0,0,0
Centro Sur,Buenos Aires,Berraondo,0,0,0
Centro Sur,Buenos Aires,Carhue,0,0,0
Centro Sur,Buenos Aires,Casbas,0,0,Trampa perdida
Centro Sur,Buenos Aires,Chascomús,0,0,0
Centro Sur,Buenos Aires,La Niña,0,0,Sin datos
Centro Sur,Buenos Aires,Las Numancias,0,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Paraje Fra Pal,0,0,0
Centro Sur,Buenos Aires,Salto,0,0,0
Centro Sur,Buenos Aires,Trenque Lauquen,0,0,0
Centro Sur,Buenos Aires,Chillar,0,0,Sin datos
Centro Sur,Buenos Aires,Sur Bordenave,0,0,0
Centro Sur,Buenos Aires,Puan,0,0,0
Centro Sur,Buenos Aires,Viboras,0,0,0
Centro Sur,Buenos Aires,12 de Octubre,0,0,0
Centro Sur,Buenos Aires,Carmen de Areco,0,0,0
Centro Sur,Buenos Aires,Ferré,0,0,0
Centro Sur,Buenos Aires,Vedia,0,0,0
Centro Sur,Buenos Aires,San Miguel de Arcángel,0,0,0
Centro Sur,Buenos Aires,América,0,0,0
Centro Sur,Buenos Aires,Arenaza,0,0,0
Centro Sur,Buenos Aires,Carlos Tejedor,0,0,0
Centro Sur,Buenos Aires,Casey,0,0,0
Centro Sur,Buenos Aires,Daireaux,0,0,0
Centro Sur,Buenos Aires,General Arenales,0,0,0
Centro Sur,Buenos Aires,General Villegas,0,0,0
Centro Sur,Buenos Aires,Guanaco,0,0,0
Centro Sur,Buenos Aires,Henderson,0,0,0
Centro Sur,Buenos Aires,Mari Lauque,0,0,0
Centro Sur,Buenos Aires,Moctezuma,0,0,0
Centro Sur,Buenos Aires,Treinta de Agosto,0,0,0
Centro Sur,Buenos Aires,Ayacucho,0,0,0
Centro Sur,Buenos Aires,Gral. Madariaga,0,0,0
Centro Sur,Buenos Aires,Orense,0,0,0
Centro Sur,Buenos Aires,Bragado,0,0,0
Centro Sur,Buenos Aires,San Andrés de Giles,0,0,0
Centro Sur,Buenos Aires,San Pedro,0,0,0
Centro Sur,Buenos Aires,Alberdi,0,0,0
Centro Sur,Buenos Aires,Junín,0,0,0
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Tandil,0,0,0
Centro Sur,Buenos Aires,Las Armas,0,0,0
Centro Sur,Buenos Aires,Catriló,0,0,0
Centro Sur,Buenos Aires,Chivilcoy,0,Trampa perdida,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Conesa,0,0,0
Centro Sur,Buenos Aires,San antonio de Areco,0,0,0
Centro Sur,Buenos Aires,Bordenave,0,0,0
Centro Sur,Buenos Aires,Gral. Villegas,0,0,0
Centro Sur,Buenos Aires,Ascasubi,0,0,0
Centro Sur,Buenos Aires,Bolivar,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Balcarce,0,0,Trampa perdida
Centro Sur,La Pampa,Macachín,0,0,0
Centro Sur,La Pampa,Quemu Quemu,0,0,0
Centro Sur,La Pampa,General Pico,0,0,0
Centro Sur,La Pampa,Quemú Quemú,0,0,Trampa perdida
Centro Sur,La Pampa,Santa Rosa,0,0,0
Centro Sur,La Pampa,Anguil 1,0,0,0
Centro Sur,Santa Fe,Pujato,0,0,0
Uruguay,Uruguay,Rosario,0,0,0
Uruguay,Uruguay,Chamizo,0,Sin datos,0
Uruguay,Uruguay,Colonia,Sin datos,0,Sin datos
Uruguay,Uruguay,Young,Sin datos,0,2
Uruguay,Uruguay,Mercedes,0,0,0
Uruguay,Uruguay,Durazno,Sin datos,0,0
Uruguay,Uruguay,Constancia,0,1,Sin datos
Uruguay,Uruguay,Palmitas,0,0,0
Uruguay,Uruguay,Sanchez,0,0,0
Uruguay,Uruguay,Arenal Grande,0,Sin datos,Sin datos
Uruguay,Uruguay,Miguelete,Sin datos,Sin datos,0
Uruguay,Uruguay,Cuchilla del Perdido,Sin datos,Sin datos,0
Uruguay,Uruguay,Campana,Sin datos,Sin datos,0
